As_of_Date_In_Form_YYMMDD,Market_and_Exchange_Names,CFTC_Contract_Market_Code,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Net_Dealer,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Net_AssetManager,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Net_LevFunds,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Net_OtherReport,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Net_NonReport
250729,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,95832,19537,613,76295,36500,88299,13315,-51799,17555,47640,5245,-30085,8934,2490,34,6444,23824,24679,-855
250722,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,94422,22297,193,72125,35356,82990,13092,-47634,19500,50125,5368,-30625,9273,1972,44,7301,23647,24814,-1167
250715,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,94000,24896,1,69104,36258,87009,12297,-50751,18796,44516,4727,-25720,8793,2754,12,6039,27836,26508,1328
250708,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,89992,27779,0,62213,38868,81477,12600,-42609,17728,46507,4097,-28779,9400,3139,10,6261,28631,25717,2914
250701,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,88902,32566,0,56336,42428,77815,13642,-35387,16179,47298,4163,-31119,10984,3296,10,7688,27177,24695,2482
250624,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,82380,36258,0,46122,46682,72459,12887,-25777,15736,47453,4236,-31717,11796,3161,25,8635,27452,24715,2737
250617,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,162309,100912,8904,61397,47979,79810,12133,-31831,19310,56275,4112,-36965,10558,7637,1383,2921,28113,23635,4478
250610,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,158972,64115,13884,94857,40588,97181,5589,-56593,16625,56327,16564,-39702,8737,9235,29,-498,27489,25553,1936
250603,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,164104,49692,2286,114412,38157,103352,5189,-65195,15552,62849,10673,-47297,9964,9705,149,259,23967,26146,-2179
250527,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,162862,51585,367,111277,36925,105383,5547,-68458,16678,62383,4588,-45705,11021,7031,63,3990,25181,26285,-1104
250520,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,167788,42859,0,124929,34175,116443,5971,-82268,19646,59860,5064,-40214,11827,5153,64,6674,22213,31334,-9121
250513,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,163355,59573,0,103782,36038,104102,5419,-68064,21114,56458,5026,-35344,10496,1131,79,9365,21276,31015,-9739
250506,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,157629,76023,72,81606,39126,94182,5048,-55056,12831,44974,4420,-32143,11927,510,0,11417,24048,29872,-5824
250429,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,156444,75155,24,81289,37759,91999,4947,-54240,11464,43678,2158,-32214,13768,486,0,13282,22693,30810,-8117
250422,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,156111,67544,183,88567,36040,93261,5333,-57221,11449,50568,1913,-39119,14616,837,177,13779,23821,29827,-6006
250415,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,158622,41073,416,117549,34698,108078,4823,-73380,12380,63629,1504,-51249,13841,478,524,13363,22676,28959,-6283
250408,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,174083,18369,224,155714,33043,128649,4753,-95606,9354,72188,2442,-62834,13457,512,378,12945,20529,30748,-10219
250401,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,176291,9860,418,166431,31590,153784,4420,-122194,19122,68543,2719,-49421,19657,1171,221,18486,23892,37194,-13302
250325,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,178591,5898,296,172693,32203,161425,4691,-129222,17877,67999,3408,-50122,19440,2127,3,17313,24617,35279,-10662
250318,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,211949,20801,34900,191148,31120,169724,5069,-138604,10823,74345,5734,-63522,23931,2376,72,21555,24334,34911,-10577
250311,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,220845,16970,7832,203875,30511,177603,8329,-147092,6946,70407,13666,-63461,23860,3444,1083,20416,26850,40588,-13738
250304,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,224852,17619,2468,207233,31569,178722,4074,-147153,10601,75181,21842,-64580,19442,3732,964,15710,24406,35616,-11210
250225,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,213044,19094,611,193950,36149,174505,4858,-138356,8701,75578,9426,-66877,18007,1809,929,16198,27768,32683,-4915
250218,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,217615,15735,655,201880,37853,173314,4766,-135461,6968,85062,8238,-78094,19583,1339,872,18244,26645,33214,-6569
250211,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,228531,13506,578,215025,34871,173754,4551,-138883,5683,87330,7963,-81647,19451,2183,146,17268,25075,36838,-11763
250204,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,246568,15650,529,230918,34620,184732,3978,-150112,5300,96118,7585,-90818,22697,2287,0,20410,25707,36105,-10398
250128,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,228840,12867,741,215973,33248,172952,4164,-139704,5869,89815,7166,-83946,24614,1568,0,23046,26467,41836,-15369
250121,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,231799,16395,724,215404,33303,166181,4271,-132878,3350,95722,6178,-92372,24764,2627,0,22137,27246,39537,-12291
250114,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,248173,14987,381,233186,30100,185148,4483,-155048,6876,94932,6598,-88056,26219,1973,0,24246,27533,41861,-14328
250107,CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,090741,260359,13069,445,247290,28378,188673,4851,-160295,5550,100129,6530,-94579,23291,1829,0,21462,27806,41684,-13878
250729,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,48029,7573,0,40456,6883,40917,995,-34034,6853,9115,124,-2262,1000,904,0,96,13021,17277,-4256
250722,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,44953,7482,0,37471,7122,40890,984,-33768,5962,9643,105,-3681,1250,906,0,344,15305,15671,-366
250715,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,43716,8416,0,35300,6449,40471,974,-34022,7129,8372,60,-1243,1250,906,0,344,14677,15056,-379
250708,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,40949,5715,0,35234,6487,43761,1035,-37274,6872,6535,28,337,1250,966,0,284,16140,14721,1419
250701,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,41333,5565,0,35768,6602,43434,905,-36832,5350,6420,558,-1070,1250,1236,0,14,16548,14428,2120
250624,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,38483,3692,0,34791,6299,43086,835,-36787,6664,5441,105,1223,1653,1056,0,597,15449,15273,176
250617,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,38360,4019,0,34341,6088,41945,780,-35857,4922,4740,21,182,1500,1056,0,444,15712,14822,890
250610,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,42948,11067,4516,31881,5955,42734,763,-36779,8660,4172,6278,4488,1000,2016,2,-1016,16806,15380,1426
250603,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,43269,9404,1552,33865,7379,38570,719,-31191,5857,7475,6135,-1618,1000,2238,2,-1238,15409,15227,182
250527,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,44522,11649,172,32873,7760,36784,749,-29024,4465,7433,994,-2968,1000,1910,2,-910,14117,14088,29
250520,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,44080,11365,0,32715,8432,35385,723,-26953,5321,8347,17,-3026,1000,2205,2,-1205,13558,15089,-1531
250513,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,42769,12810,0,29959,8566,33576,711,-25010,5456,9861,26,-4405,1000,1614,0,-614,14560,14490,70
250506,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,45014,12408,0,32606,7230,32493,600,-25263,3986,9707,114,-5721,1000,1764,0,-764,12634,13492,-858
250429,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,44936,12816,0,32120,9004,31498,785,-22494,3637,11519,25,-7882,1000,1794,0,-794,12562,13512,-950
250422,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,45172,10233,0,34939,9846,33565,621,-23719,3031,12129,23,-9098,1000,1854,0,-854,13198,14466,-1268
250415,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,46375,5277,0,41098,10472,34302,518,-23830,2666,16542,29,-13876,1000,1236,0,-236,12419,15575,-3156
250408,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,53912,4697,0,49215,8959,35918,181,-26959,1788,15995,93,-14207,514,1040,327,-526,10659,18182,-7523
250401,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,67624,783,0,66841,8677,45111,197,-36434,2573,25475,0,-22902,0,500,0,-500,10177,17182,-7005
250325,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,63279,759,1,62520,8512,40372,200,-31860,3172,24322,48,-21150,0,1001,0,-1001,10519,19028,-8509
250318,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,56629,595,2,56034,8870,38825,191,-29955,3701,20630,49,-16929,0,500,0,-500,10615,19265,-8650
250311,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,62679,4120,8915,58559,8563,41867,51,-33304,3870,20611,3068,-16741,0,3230,115,-3230,13232,18516,-5284
250304,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,67935,3835,419,64100,10931,46743,13,-35812,4488,19584,871,-15096,400,3296,0,-2896,11964,22260,-10296
250225,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,72525,3415,43,69110,8894,47718,40,-38824,4978,21079,63,-16101,400,3276,0,-2876,10235,21544,-11309
250218,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,72828,2865,26,69963,8872,47924,12,-39052,6830,20990,103,-14160,400,4005,0,-3605,8807,21953,-13146
250211,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,72997,2411,455,70586,8717,46136,171,-37419,5508,20466,52,-14958,400,3597,0,-3197,9859,24871,-15012
250204,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,73205,2841,38,70364,9503,50266,309,-40763,5855,19488,197,-13633,400,3323,0,-2923,8424,21469,-13045
250128,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,73886,2694,336,71192,8952,49503,287,-40551,4801,19970,111,-15169,400,3422,0,-3022,8491,20941,-12450
250121,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,70502,2196,456,68306,9915,47506,372,-37591,6358,18287,98,-11929,400,3265,0,-2865,8255,24176,-15921
250114,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,70293,2083,371,68210,7141,47898,438,-40757,7987,16318,99,-8331,400,1880,0,-1480,7316,24958,-17642
250107,SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,092741,65563,2112,497,63451,9442,45504,438,-36062,7463,17271,90,-9808,400,1425,0,-1025,7351,23907,-16556
250729,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,44612,23772,6624,20840,45490,111086,6067,-65596,73071,25370,2104,47701,615,2264,0,-1649,29296,30592,-1296
250722,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,31025,28718,2932,2307,48719,106972,5285,-58253,72364,20847,1600,51517,1363,2103,0,-740,32179,27010,5169
250715,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,10620,37878,2925,-27258,57625,84786,6217,-27161,72514,24991,2069,47523,834,2228,0,-1394,34471,26181,8290
250708,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,8829,39841,2962,-31012,66611,79765,4508,-13154,69294,32645,1627,36649,1091,3922,0,-2831,36635,26287,10348
250701,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,6889,38674,1065,-31785,71631,78517,4256,-6886,64702,34596,912,30106,1091,5098,0,-4007,38143,25571,12572
250624,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,9361,42599,1039,-33238,64941,78243,3921,-13302,63501,21817,1229,41684,0,4784,0,-4784,35906,26266,9640
250617,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,5070,41822,144,-36752,65765,73198,4425,-7433,64649,28801,1456,35848,1680,2549,0,-869,33837,24631,9206
250610,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,15792,68088,11057,-52296,71989,67679,6695,4310,65686,24156,5551,41530,971,3443,0,-2472,36199,27271,8928
250603,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,8546,62038,19130,-53492,69092,67713,6183,1379,73098,33699,18187,39399,2402,3438,0,-1036,36963,23213,13750
250527,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,9410,55431,1695,-46021,70144,71584,5788,-1440,71735,33001,6395,38734,1100,3861,0,-2761,36723,25235,11488
250520,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,10745,43147,785,-32402,62059,68259,5850,-6200,64799,32603,17920,32196,0,3418,0,-3418,33168,23344,9824
250513,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,12208,40898,161,-28690,60216,65962,4741,-5746,65307,32921,18843,32386,620,3413,0,-2793,32765,27922,4843
250506,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,13850,44929,175,-31079,64716,66634,3806,-1918,66229,35698,19344,30531,401,3436,0,-3035,31693,26192,5501
250429,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,10789,40109,162,-29320,65506,66452,3377,-946,62771,35223,17832,27548,401,3447,0,-3046,31474,25710,5764
250422,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,10584,34346,80,-23762,63181,68293,3297,-5112,67488,37721,5202,29767,401,6243,0,-5842,29322,24373,4949
250415,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,16658,23966,272,-7308,54252,71852,2623,-17600,70443,36385,4069,34058,0,12130,0,-12130,28689,25709,2980
250408,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,21438,26712,272,-5274,49561,68394,3373,-18833,72555,28147,5580,44408,0,18786,0,-18786,24131,25646,-1515
250401,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,12126,35550,202,-23424,59493,74408,2892,-14915,76484,28234,5090,48250,582,14657,43,-14075,30248,26084,4164
250325,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,10710,45978,88,-35268,67411,72801,2985,-5390,71377,30671,4830,40706,1585,8032,0,-6447,32226,25827,6399
250318,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,8710,32560,97,-23850,60369,73497,3427,-13128,67268,35312,6404,31956,1163,5483,0,-4320,33403,24061,9342
250311,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,37619,51811,17649,-14192,51007,76459,2638,-25452,61074,33141,26057,27933,11342,2799,0,8543,41071,37903,3168
250304,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,42892,33301,2799,9591,41378,86017,1393,-44639,62241,28491,13514,33750,8711,2549,0,6162,27706,32570,-4864
250225,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,56707,26496,2289,30211,43185,90483,1988,-47298,60643,28575,9447,32068,1217,5549,0,-4332,24992,35641,-10649
250218,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,58645,24582,2394,34063,40426,96902,1244,-56476,63543,28739,9613,34804,3376,5549,0,-2173,24129,34347,-10218
250211,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,73569,25186,0,48383,32211,100276,1351,-68065,58540,26918,13256,31622,4735,3363,160,1372,24316,37628,-13312
250204,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,78492,21927,0,56565,34621,99697,1566,-65076,56170,33271,8472,22899,2194,2876,178,-682,22951,36657,-13706
250128,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,88834,19266,0,69568,33544,103154,1145,-69610,52427,32499,8940,19928,831,3035,19,-2204,21081,38763,-17682
250121,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,72459,20685,0,51774,43354,107685,1432,-64331,63658,30610,6751,33048,3131,3130,0,1,21903,42395,-20492
250114,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,53090,14732,0,38358,47966,103195,1384,-55229,67791,32917,7570,34874,1033,3613,175,-2580,21817,37240,-15423
250107,BRITISH POUND - CHICAGO MERCANTILE EXCHANGE,096742,42238,18677,17,23561,39627,97709,1194,-58082,72934,25621,7167,47313,0,4009,265,-4009,25328,34111,-8783
250729,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,46073,186961,187,-140888,103482,31931,4351,71551,37000,57878,3391,-20878,92174,5264,2151,86910,40306,37001,3305
250722,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,28423,192337,230,-163914,100874,30516,3967,70358,36995,43056,3274,-6061,95601,6699,0,88902,43676,32961,10715
250715,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,36455,192890,169,-156435,100056,31678,4313,68378,42392,45751,3659,-3359,90979,6827,44,84152,43283,36019,7264
250708,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,9523,203380,209,-193857,112913,25159,4968,87754,42605,32223,4874,10382,92634,9438,0,83196,40895,28370,12525
250701,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,5973,225947,193,-219974,119394,25339,4519,94055,43066,26420,3517,16646,92212,6458,9,85754,45368,21849,23519
250624,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,5506,221813,119,-216307,116393,24632,4691,91761,48739,28981,4215,19758,94483,5128,159,89355,40462,25029,15433
250617,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,7244,224439,119,-217195,119461,26366,4531,93095,45713,27930,3730,17783,93324,4303,150,89021,43251,25955,17296
250610,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,11486,244029,36890,-232543,131187,21235,5310,109952,44731,24112,15176,20619,89358,11868,1,77490,54124,29642,24482
250603,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,13257,250144,397,-236887,130723,21167,4681,109556,49497,23347,32087,26150,90868,14046,1,76822,44497,20138,24359
250527,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,11894,256512,1654,-244618,127979,13817,4775,114162,49246,25171,41806,24075,97722,11027,1,86695,41934,22248,19686
250520,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,10501,259716,2402,-249215,124230,13308,4784,110922,55915,17418,31722,38497,98813,12708,1,86105,38497,24806,13691
250513,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,11512,257899,2501,-246387,124096,14755,5045,109341,55015,19972,24098,35043,97238,7858,1,89380,40015,27392,12623
250506,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,15495,277678,2659,-262183,134156,8481,6483,125675,54358,29708,20052,24650,97907,9802,1,88105,44435,20682,23753
250429,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,10758,277672,2781,-266914,137808,10533,6030,127275,50238,30627,13273,19611,100969,3626,1,97343,44388,21703,22685
250422,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,8474,269048,2952,-260574,135299,15316,6183,119983,50802,31359,2974,19443,99899,1859,0,98040,44643,21535,23108
250415,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,7590,255341,2687,-247751,130058,15150,5790,114908,51122,33022,1237,18100,98167,1914,0,96253,42198,23708,18490
250408,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,5632,233795,2549,-228163,115727,12797,6279,102930,52436,33203,4027,19233,94462,3064,46,91398,39600,24998,14602
250401,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,4942,200763,2607,-195821,99685,23036,7059,76649,48928,37665,3607,11263,96110,4974,122,91136,48102,31329,16773
250325,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,5335,190362,2793,-185027,99454,19587,7508,79867,41782,41473,4279,309,97598,3111,64,94487,44965,34601,10364
250318,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,1791,180917,2469,-179126,100447,20250,7057,80197,40348,46181,4015,-5833,94384,3434,0,90950,46056,32244,13812
250311,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,13116,202317,86884,-189201,111825,27286,6283,84539,46055,45638,30340,417,92467,3589,163,88878,59045,43678,15367
250304,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,9567,196332,15495,-186765,115992,32223,6333,83769,47578,45028,21622,2550,92774,4596,0,88178,45054,32786,12268
250225,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,10456,165651,1430,-155195,109396,37634,6272,71762,47598,59318,17750,-11720,90547,8359,0,82188,45737,32772,12965
250218,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,13311,110416,32,-97105,87890,48966,6304,38924,43974,67824,4465,-23850,80864,8457,338,72407,43985,34361,9624
250211,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,9892,100568,0,-90676,86253,48939,6140,37314,35523,66542,4929,-31019,80430,9588,338,70842,49809,36270,13539
250204,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,8671,61195,6,-52524,62742,49047,6981,13695,33050,62138,5970,-29088,64876,8874,338,56002,49277,37362,11915
250128,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,11429,38639,118,-27210,58289,60102,5783,-1813,24923,59098,7075,-34175,64660,9158,338,55502,44173,36477,7696
250121,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,17792,24265,6,-6473,50196,63403,5396,-13207,27591,67227,6758,-39636,59901,6429,338,53472,43642,37798,5844
250114,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,39297,15437,6,23860,52052,72161,5424,-20109,25130,77511,4530,-52381,56907,6665,338,50242,40268,41880,-1612
250107,JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,097741,26016,16670,6,9346,53082,62661,6417,-9579,24057,77219,5325,-53162,57167,3677,1394,53490,38992,39087,-95
250729,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,47984,499338,3276,-451354,481538,124153,24092,357385,110100,79238,24048,30862,32843,22155,6775,10688,97921,45502,52419
250722,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,47272,522071,3263,-474799,497068,122740,27534,374328,102310,73901,23786,28409,39618,19754,6380,19864,96216,44018,52198
250715,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,42464,515996,2533,-473532,477607,116891,26259,360716,106430,67906,23367,38524,37844,19546,6328,18298,97608,41614,55994
250708,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,41200,496248,2802,-455048,464484,114961,28372,349523,105233,76110,19186,29123,38671,19096,6532,19575,99367,42540,56827
250701,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,34128,468358,1967,-434230,461525,116188,28407,345337,91623,76402,20074,15221,38876,18331,6471,20545,95960,42833,53127
250624,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,31477,458976,2989,-427499,458163,120432,25703,337731,88638,67545,19317,21093,35105,19596,6345,15509,94870,41704,53166
250617,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,28746,453210,2847,-424464,456662,123584,25399,333078,88119,72690,15542,15429,34695,18206,6036,16489,97815,38347,59468
250610,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,32680,439359,40070,-406679,441522,121178,27855,320344,84861,72885,39975,11976,34827,18699,6238,16128,102489,44258,58231
250603,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,48503,438220,14218,-389717,444511,124440,28161,320071,74113,76024,30167,-1911,35000,18964,5986,16036,100625,45104,55521
250527,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,49826,424525,9004,-374699,441156,127173,26720,313983,76556,77460,24609,-904,31567,22374,5755,9193,95278,42851,52427
