As_of_Date_In_Form_YYMMDD,Market_and_Exchange_Names,CFTC_Contract_Market_Code,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Net_Dealer,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Net_AssetManager,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Net_LevFunds,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Net_OtherReport,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Net_NonReport
250520,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,47230,421491,6884,-374261,435558,125222,27020,310336,83874,76941,27930,6933,30934,26319,5747,4615,94072,41695,52377
250513,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,34250,423571,7384,-389321,432043,120966,25767,311077,86340,66187,33460,20153,31463,22880,5670,8583,94529,45021,49508
250506,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,33157,415185,7187,-382028,427317,120387,25043,306930,73085,67340,34987,5745,33705,19972,5492,13733,97040,41420,55620
250429,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,33550,410302,7376,-376752,421978,120302,24650,301676,79893,62578,29813,17315,30041,27994,5535,2047,97376,41662,55714
250422,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,33861,403364,7126,-369503,419532,123255,22601,296277,81269,66559,20180,14710,32835,27232,5475,5603,96353,43440,52913
250415,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,29171,393749,7809,-364578,419169,129399,21927,289770,80754,58948,18678,21806,32168,27801,5575,4367,92871,44236,48635
250408,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,31861,371975,8404,-340114,412595,129438,23057,283157,85855,52777,20622,33078,28146,34703,6568,-6557,80668,50232,30436
250401,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,24218,340593,4098,-316375,384138,127920,29441,256218,91315,58425,21892,32890,29468,33238,6125,-3770,80132,49095,31037
250325,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,22135,351464,3982,-329329,389514,125991,30984,263523,89643,63267,18990,26376,29712,25073,6172,4639,81743,46952,34791
250318,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,16659,329538,3531,-312879,380024,121536,31848,258488,87050,73191,15033,13859,29749,22152,6203,7597,82523,49588,32935
250311,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,28370,291663,27334,-263293,375109,135878,47485,239231,90093,96012,27278,-5919,27194,31970,6731,-4776,100166,65409,34757
250304,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,22785,255957,17343,-233172,366028,154304,45217,211724,94173,102395,20208,-8222,28435,28130,6309,305,83321,53956,29365
250225,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,20386,230729,14804,-210343,356354,165177,43136,191177,93762,99058,17182,-5296,28193,29796,6233,-1603,78634,52569,26065
250218,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,19976,200260,14302,-180284,346446,173913,35795,172533,89424,100651,20602,-11227,29362,35609,6420,-6247,75697,50472,25225
250211,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,16384,178074,14144,-161690,338182,177937,35597,160245,88642,109469,18144,-20827,28998,31177,6539,-2179,76243,51792,24451
250204,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,15873,177918,13020,-162045,339196,175446,35675,163750,82094,104271,21040,-22177,28881,30552,6507,-1671,74337,52194,22143
250128,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,16363,183222,12613,-166859,347583,173187,34967,174396,72532,106828,24361,-34296,28031,26281,6476,1750,75982,50973,25009
250121,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,22173,166474,9978,-144301,340273,179395,35705,160878,72504,107738,17688,-35234,28942,28476,6669,466,75560,57369,18191
250114,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,33400,164026,8472,-130626,332942,175066,34752,157876,68363,108162,18669,-39799,28075,27586,6870,489,72682,60622,12060
250107,EURO FX - CHICAGO MERCANTILE EXCHANGE,099741,29921,158813,6877,-128892,333660,182397,34554,151263,69495,111083,16162,-41588,29109,29012,6760,97,76649,57529,19120
250729,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,56421,2827,137,53594,42358,91839,7390,-49481,23013,34399,2865,-11386,4821,600,42,4221,22633,19581,3052
250722,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,60092,1902,153,58190,37995,91878,6609,-53883,25713,37898,2974,-12185,4464,500,42,3964,23352,19438,3914
250715,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,52164,2516,137,49648,39485,77968,6532,-38483,19728,37336,3807,-17608,4552,500,42,4052,24040,21649,2391
250708,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,48396,3355,137,45041,41225,79471,6590,-38246,21932,39382,3914,-17450,4986,500,42,4486,26168,19999,6169
250701,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,50287,938,137,49349,41206,76365,7143,-35159,17902,42190,2440,-24288,6507,500,3,6007,25713,21622,4091
250624,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,52870,688,266,52182,41437,78387,6801,-36950,18889,41192,2425,-22303,5484,500,40,4984,22820,20733,2087
250617,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,47890,8283,180,39607,43330,75400,6047,-32070,17911,33211,2774,-15300,4253,500,40,3753,25046,21036,4010
250610,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,86389,42993,21697,43396,39089,72549,13887,-33460,19030,41339,10652,-22309,6699,500,44,6199,26785,20611,6174
250603,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,81757,38456,6389,43301,39435,71431,14536,-31996,17018,36173,6818,-19155,6390,500,6945,5890,23307,21347,1960
250527,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,78036,36213,1195,41823,37251,68908,14629,-31657,18161,34117,2660,-15956,3843,2818,0,1025,23517,18752,4765
250520,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,79404,38195,196,41209,35603,70038,14678,-34435,20400,27084,2946,-6684,3845,3476,0,369,20781,21240,-459
250513,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,76445,44403,260,32042,38862,66357,14458,-27495,23738,30110,1667,-6372,3762,400,0,3362,21268,22805,-1537
250506,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,73758,48838,211,24920,45295,57240,14423,-11945,20750,36601,1107,-15851,4617,400,0,4217,22896,24237,-1341
250429,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,74149,52281,362,21868,47085,55470,14905,-8385,20451,38025,1016,-17574,3869,918,0,2951,22967,21827,1140
250422,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,72708,52889,355,19819,50444,55466,13888,-5022,21486,44131,3079,-22645,4682,986,0,3696,24156,20004,4152
250415,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,73286,35406,313,37880,49846,61799,13570,-11953,12595,36909,2251,-24314,4752,1481,237,3271,21897,26781,-4884
250408,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,76819,30029,335,46790,52915,68529,12531,-15614,17464,46905,1576,-29441,5874,704,1628,5170,25334,32239,-6905
250401,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,72368,7723,885,64645,44842,80279,13774,-35437,16740,49859,1283,-33119,8084,884,50,7200,24740,28029,-3289
250325,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,76652,7079,423,69573,46220,84352,10751,-38132,15664,46904,1042,-31240,5968,1286,50,4682,23317,28200,-4883
250318,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,75018,12160,524,62858,47965,84580,9402,-36615,13309,43229,1877,-29920,6344,2157,50,4187,26057,26567,-510
250311,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,61796,11722,61277,50074,53583,91965,6203,-38382,18600,42390,5569,-23790,19673,400,0,19273,32037,39212,-7175
250304,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,70486,7266,1705,63220,56080,101450,5055,-45370,16843,45216,7241,-28373,20182,863,0,19319,24680,33476,-8796
250225,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,66682,8075,644,58607,53834,91123,4331,-37289,17142,47694,2711,-30552,16386,400,0,15986,24241,30993,-6752
250218,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,69238,13291,351,55947,57810,88894,4345,-31084,15678,49025,3887,-33347,12514,400,0,12114,25863,29493,-3630
250211,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,78023,14027,588,63996,60547,89614,4392,-29067,11077,53572,1902,-42495,12825,400,0,12425,26941,31800,-4859
250204,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,92424,11428,505,80996,54124,99681,5680,-45557,13048,51597,4350,-38549,12170,868,0,11302,22568,30760,-8192
250128,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,90691,10129,459,80562,45578,87983,5788,-42405,9389,53670,2546,-44281,13694,400,0,13294,23866,31036,-7170
250121,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,88124,13032,339,75092,43528,86074,7910,-42546,10834,47493,1542,-36659,13471,855,268,12616,24195,32698,-8503
250114,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,88369,12420,237,75949,48166,86524,7909,-38358,9209,48248,2579,-39039,11969,855,268,11114,23314,32980,-9666
250107,AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,232741,88021,15302,252,72719,45198,88044,9257,-42846,15484,49272,1752,-33788,13889,400,268,13489,23643,33217,-9574
250729,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,21161,3,-21161,21644,0,887,21644,2450,14276,0,-11826,0,0,0,0,14562,3219,11343
250722,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,20861,2,-20861,21060,0,998,21060,2296,13819,0,-11523,0,0,0,0,14231,2907,11324
250715,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,19118,0,-19118,19412,0,1199,19412,1303,12030,0,-10727,0,0,0,0,13524,3091,10433
250708,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,20295,0,-20295,22317,0,1254,22317,1400,13996,0,-12596,0,0,0,0,13676,3102,10574
250701,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,20022,0,-20022,20400,0,1344,20400,1430,11826,2,-10396,453,0,0,453,13071,3506,9565
250624,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,19533,0,-19533,18013,0,1331,18013,0,8086,1,-8086,453,0,0,453,12370,3217,9153
250617,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,18026,0,-18026,17624,3624,1301,14000,0,4600,0,-4600,453,0,0,453,12727,4554,8173
250610,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,19227,73,-19227,16743,3959,1263,12784,584,2412,366,-1828,453,0,0,453,13159,5341,7818
250603,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,19638,0,-19638,16680,3319,1263,13361,1020,2903,0,-1883,453,0,0,453,11871,4164,7707
250527,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,1098,19778,0,-18680,16784,4080,1263,12704,1298,3650,898,-2352,453,0,0,453,11649,3774,7875
250520,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,1048,19252,0,-18204,16776,3178,1263,13598,527,4545,46,-4018,453,0,0,453,12258,4087,8171
250513,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,1124,20227,0,-19103,17736,1180,1263,16556,1052,8106,0,-7054,426,0,0,426,11894,2719,9175
250506,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,473,20604,0,-20131,19910,529,1263,19381,1284,10973,0,-9689,426,0,0,426,12481,2468,10013
250429,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,20907,0,-20907,18878,0,1277,18878,2579,11169,0,-8590,426,0,0,426,12522,2329,10193
250422,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,21043,0,-21043,18910,0,1277,18910,3150,11545,0,-8395,426,0,0,426,12539,2437,10102
250415,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,21165,0,-21165,19465,0,1341,19465,3023,11996,0,-8973,426,0,0,426,12720,2473,10247
250408,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,18268,0,-18268,16459,3047,1386,13412,2310,6604,0,-4294,0,0,0,0,13424,4274,9150
250401,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,17423,0,-17423,15901,5338,1382,10563,1870,2938,0,-1068,0,0,0,0,13240,5312,7928
250325,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,18218,0,-18218,16058,4001,1380,12057,1828,4233,0,-2405,0,0,0,0,13228,4662,8566
250318,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,0,16787,0,-16787,15601,4309,1380,11292,2113,4773,0,-2660,0,0,0,0,12806,4651,8155
250311,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,1220,15378,833,-14158,15309,4566,977,10743,2141,7193,296,-5052,0,0,0,0,16535,8068,8467
250304,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,1220,15264,0,-14044,15399,4596,985,10803,1843,6513,398,-4670,0,0,0,0,13651,5740,7911
250225,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,1220,15609,0,-14389,15383,4753,985,10630,1562,6325,768,-4763,0,0,0,0,13880,5358,8522
250218,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,1220,15597,0,-14377,15233,3645,985,11588,578,6825,823,-6247,0,0,0,0,13920,4884,9036
250211,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,1220,15602,0,-14382,15260,3818,985,11442,1219,7373,732,-6154,0,0,0,0,13610,4516,9094
250204,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,929,15551,0,-14622,15297,2377,985,12920,1091,7679,10,-6588,0,0,0,0,13861,5571,8290
250128,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,929,15582,0,-14653,15068,2042,985,13026,1061,7841,10,-6780,0,0,0,0,13229,4822,8407
250121,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,1334,15227,0,-13893,15128,3875,988,11253,1374,5931,10,-4557,0,0,0,0,12678,5481,7197
250114,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,1334,15258,0,-13924,15219,4796,988,10423,547,3960,10,-3413,0,0,0,0,13106,6192,6914
250107,EURO FX/BRITISH POUND XRATE - CHICAGO MERCANTILE EXCHANGE,299741,856,13896,0,-13040,15307,5345,997,9962,1565,4075,10,-2510,0,0,0,0,12399,6811,5588
250729,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,10635,68172,1320,-57537,78142,34869,1334,43273,66078,59339,616,6739,9519,5419,0,4100,6339,2914,3425
250722,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,10596,64390,1416,-53794,72205,33901,2372,38304,68978,59998,1315,8980,8236,6002,0,2234,7251,2975,4276
250715,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,10610,59891,1397,-49281,76091,33066,920,43025,59612,60506,701,-894,7657,6558,0,1099,8820,2769,6051
250708,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,11182,55727,37,-44545,76519,32248,1327,44271,62032,67557,566,-5525,8256,7307,0,949,7343,2493,4850
250701,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,11053,51060,118,-40007,72247,32748,1373,39499,52633,58985,546,-6352,7451,5830,0,1621,7631,2392,5239
250624,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,11112,45282,30,-34170,71589,33603,2258,37986,46919,57642,517,-10723,7303,4865,0,2438,7127,2658,4469
250617,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,10486,47960,17,-37474,76260,38481,2976,37779,49461,57393,682,-7932,7923,5751,54,2172,7722,2267,5455
250610,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,3735,30167,13512,-26432,75794,36437,3149,39357,53467,63608,15791,-10141,5658,11626,3155,-5968,6351,3167,3184
250603,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,4928,29782,11533,-24854,71949,34698,3241,37251,47914,57746,13999,-9832,5593,10655,3400,-5062,6108,3611,2497
250527,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,5196,26144,11329,-20948,70989,37146,3829,33843,44395,53978,14712,-9583,5350,10630,376,-5280,5477,3509,1968
250520,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,4143,24645,996,-20502,67519,37330,4434,30189,45999,51641,2528,-5642,5352,10927,435,-5575,5579,4049,1530
250513,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,2607,25275,963,-22668,64756,37647,5105,27109,47009,48820,2216,-1811,4655,11120,439,-6465,7084,3249,3835
250506,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,6693,24612,303,-17919,57343,36262,6220,21081,45853,42410,2116,3443,3820,11557,263,-7737,4872,3740,1132
250429,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,8188,25173,0,-16985,53706,34219,4970,19487,49726,47328,1605,2398,5083,11941,369,-6858,5554,3596,1958
250422,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,23078,21355,9,1723,40031,36268,5262,3763,48102,48798,2725,-696,5889,11862,455,-5973,4828,3645,1183
250415,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,40294,20258,9,20036,27676,46279,7991,-18603,51574,49773,5655,1801,8439,10921,410,-2482,4390,5142,-752
250408,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,31603,20110,10,11493,42323,45351,6554,-3028,53843,56058,4901,-2215,7588,11015,0,-3427,3195,6018,-2823
250401,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,11310,20647,51,-9337,56066,42393,9942,13673,50138,44544,4879,5594,2800,11775,0,-8975,4295,5250,-955
250325,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,1037,25934,368,-24897,58652,38894,10389,19758,54016,40895,5002,13121,3619,11256,0,-7637,4376,4721,-345
250318,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,1149,28784,28,-27635,59152,35586,10594,23566,61321,50142,1914,11179,3553,11031,0,-7478,5232,4864,368
250311,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,27841,11057,13912,16784,56216,41174,9439,15042,44768,59851,6653,-15083,2394,19344,17,-16950,5324,5117,207
250304,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,32933,2800,375,30133,52398,45190,9605,7208,41249,57934,3768,-16685,1207,19712,0,-18505,3500,5651,-2151
250225,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,30506,13945,0,16561,55226,45127,9279,10099,48446,54057,2443,-5611,1245,19771,19,-18526,3415,5938,-2523
250218,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,27282,8470,150,18812,51530,40645,9324,10885,53269,61555,3206,-8286,1197,20759,26,-19562,3749,5598,-1849
250211,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,29189,8677,250,20512,52110,39143,9885,12967,43975,56284,3258,-12309,1688,20278,44,-18590,3229,5809,-2580
250204,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,29565,5662,175,23903,47258,35250,9828,12008,51873,65188,2315,-13315,1308,21160,26,-19852,3020,5764,-2744
250128,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,31339,6066,22,25273,47904,37725,9814,10179,40548,56179,3311,-15631,1485,19105,44,-17620,3854,6055,-2201
250121,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,34698,2403,20,32295,44866,41200,9459,3666,43823,60535,4062,-16712,910,19280,0,-18370,3886,4765,-879
250114,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,29847,2603,19,27244,43847,42184,9197,1663,50396,59571,3910,-9175,1821,19321,0,-17500,3823,6055,-2232
250107,MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,095741,21023,2988,23,18035,47114,40169,8938,6945,52827,58902,3683,-6075,1805,18864,0,-17059,3738,5584,-1846
250729,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,3134,44494,568,-41360,57715,579,428,57136,18574,15404,23896,3170,3303,25305,2271,-22002,4208,1152,3056
250722,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,3069,45400,43,-42331,62790,590,428,62200,18255,19083,835,-828,3369,25941,57,-22572,4575,1044,3531
250715,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,1687,45040,42,-43353,67790,753,292,67037,17026,24673,436,-7647,3069,23002,57,-19933,4761,865,3896
250708,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,4122,31597,465,-27475,70018,939,162,69079,17856,17731,339,125,2658,48588,3,-45930,5226,1025,4201
250701,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,6818,26784,11821,-19966,66158,938,162,65220,25300,23095,968,2205,6403,54854,272,-48451,6605,5613,992
250624,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,4461,29379,17927,-24918,58879,718,2,58161,23077,22888,9636,189,12749,49633,1044,-36884,4804,1352,3452
250617,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,7577,28477,212,-20900,52226,718,2,51508,32014,23680,739,8334,13131,55871,0,-42740,4901,1103,3798
250610,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,5168,28489,178,-23321,52163,862,12,51301,20248,23019,651,-2771,12158,40938,27,-28780,4511,940,3571
250603,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,2348,31521,15,-29173,52843,865,28,51978,17159,23484,27,-6325,8992,28598,21,-19606,4014,888,3126
250527,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,4223,44749,8655,-40526,56227,2051,28,54176,21692,10682,21353,11010,9109,37266,335,-28157,4725,1228,3497
250520,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,4759,47957,19,-43198,60109,1578,179,58531,12872,16289,0,-3417,2527,24321,7,-21794,11113,1235,9878
250513,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,6532,45908,28,-39376,64300,1095,179,63205,18813,9913,312,8900,2297,38579,7,-36282,4729,1176,3553
250506,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,2120,47624,31,-45504,68554,1213,179,67341,11971,23260,0,-11289,2388,15902,55,-13514,3952,986,2966
250429,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,11728,64472,15415,-52744,59671,1194,254,58477,22382,13631,22,8751,11794,28514,36,-16720,3636,1400,2236
250422,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,8285,64041,540,-55756,48064,1182,228,46882,18971,14654,28,4317,9221,6459,166,2762,3743,1948,1795
250415,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,3516,65661,6,-62145,61005,1182,228,59823,15880,14771,166,1109,2621,2765,24,-144,3301,1944,1357
250408,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,3014,69286,22,-66272,75382,687,254,74695,6539,15473,105,-8934,5082,5929,0,-847,3599,2241,1358
250401,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,5247,68390,12887,-63143,81029,7114,254,73915,12115,22081,6019,-9966,2187,7008,2949,-4821,5617,1602,4015
250325,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,2908,67610,1415,-64702,79711,7265,290,72446,11885,21140,2785,-9255,3398,4091,3131,-693,3556,1352,2204
250318,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,3105,65387,3646,-62282,66103,8314,264,57789,11869,14471,1152,-2602,9569,4824,120,4745,3721,1371,2350
250311,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,2883,69531,0,-66648,79747,10621,264,69126,13607,15299,423,-1692,2066,4769,187,-2703,3582,1665,1917
250304,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,2865,67900,13,-65035,88319,9985,233,78334,9185,20355,53,-11170,2413,5189,0,-2776,2899,2252,647
250225,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,2129,37027,52893,-34898,72279,8944,6494,63335,12105,32458,403,-20353,2169,11837,0,-9668,3952,2368,1584
250218,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,2023,32135,0,-30112,59300,11410,4461,47890,12787,25225,426,-12438,2914,9530,0,-6616,3444,2168,1276
250211,BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,102741,2306,23349,0,-21043,49998,13286,4434,36712,8770,20568,215,-11798,2782,7010,0,-4228,2795,2438,357
