As_of_Date_In_Form_YYMMDD,Market_and_Exchange_Names,CFTC_Contract_Market_Code,Dealer_Positions_Long_All,Dealer_Positions_Short_All,Dealer_Positions_Spread_All,Net_Dealer,Asset_Mgr_Positions_Long_All,Asset_Mgr_Positions_Short_All,Asset_Mgr_Positions_Spread_All,Net_AssetManager,Lev_Money_Positions_Long_All,Lev_Money_Positions_Short_All,Lev_Money_Positions_Spread_All,Net_LevFunds,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Net_OtherReport,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Net_NonReport
250318,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,12393,42177,15481,-29784,36427,6181,585,30246,2837,5801,0,-2964,836,1138,0,-302,4429,1625,2804
250311,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,12566,38976,0,-26410,32032,5706,1342,26326,2289,5042,0,-2753,836,275,0,561,3393,1117,2276
250304,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,12023,37334,0,-25311,31819,6677,538,25142,2246,5103,0,-2857,836,0,0,836,3255,1065,2190
250225,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,13669,37456,0,-23787,29846,7544,535,22302,2400,5649,0,-3249,2078,0,0,2078,3540,884,2656
250218,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,12252,36560,0,-24308,29460,7517,535,21943,2846,5128,0,-2282,2538,0,0,2538,3083,974,2109
250211,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,12563,34934,0,-22371,29307,7556,535,21751,2625,4709,0,-2084,836,0,0,836,2915,1047,1868
250204,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,10359,35796,0,-25437,31323,7103,535,24220,2879,4639,0,-1760,836,0,0,836,3175,1034,2141
250128,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,10004,35041,0,-25037,32600,8021,711,24579,3369,4008,0,-639,0,1135,0,-1135,3116,884,2232
250121,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,8567,40647,0,-32080,38870,8100,746,30770,3724,3816,0,-92,0,1135,0,-1135,3375,838,2537
250114,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,8849,44123,0,-35274,40530,7511,746,33019,4119,3495,0,624,0,1135,0,-1135,3570,804,2766
250107,DOW JONES U.S. REAL ESTATE IDX - CHICAGO BOARD OF TRADE,124606,8921,46836,0,-37915,42763,7525,816,35238,3910,3302,8,608,0,0,0,0,3173,1104,2069
250722,MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,124608,3374,7548,0,-4174,0,259,0,-259,7916,1264,332,6652,0,1354,0,-1354,6609,7474,-865
250617,MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,124608,2308,5834,0,-3526,0,280,0,-280,3590,8210,2605,-4620,604,1489,4,-885,16295,6984,9311
250610,MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,124608,2353,2259,31,94,0,232,0,-232,2752,10958,811,-8206,0,2974,0,-2974,18744,7426,11318
250603,MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,124608,3520,2027,31,1493,0,0,0,0,2672,13589,669,-10917,0,2979,10,-2979,19831,7428,12403
250318,MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,124608,4345,0,268,4345,267,275,0,-8,4531,14033,3747,-9502,0,2752,0,-2752,13397,5480,7917
250311,MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,124608,4076,0,0,4076,266,275,0,-9,4528,14888,1272,-10360,213,2441,0,-2228,14283,5762,8521
250304,MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,124608,3861,0,101,3861,222,273,0,-51,3251,16656,996,-13405,0,1116,0,-1116,16344,5633,10711
250225,MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,124608,3166,0,0,3166,0,273,0,-273,4533,13347,822,-8814,300,1643,0,-1343,14691,7427,7264
250218,MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,124608,1910,0,0,1910,0,273,0,-273,7356,8275,557,-919,300,2014,0,-1714,8826,7830,996
250128,MICRO E-MINI DJIA (x$0.5) - CHICAGO BOARD OF TRADE,124608,1967,219,0,1748,0,266,0,-266,6276,1798,439,4478,245,839,0,-594,5593,10959,-5366
250729,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,135692,731302,30641,-595610,1113916,239718,108160,874198,158368,522546,42135,-364178,108534,100719,5702,7815,262022,184246,77776
250722,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,162730,740802,27915,-578072,1095059,241731,104877,853328,146493,486440,40060,-339947,103396,105592,3099,-2196,254287,187399,66888
250715,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,146464,738098,27937,-591634,1100376,232051,107951,868325,164743,509184,33814,-344441,112170,112467,2643,-297,256833,188785,68048
250708,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,120318,735418,24577,-615100,1104653,238924,109532,865729,147316,492728,36852,-345412,112890,92467,2362,20423,256851,182490,74361
250701,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,121741,762388,23842,-640647,1097414,255143,105127,842271,143778,447202,28032,-303424,118286,96199,3229,22087,259483,179769,79714
250624,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,138331,745827,21588,-607496,1066737,223268,113952,843469,138406,413729,56454,-275323,106536,130740,4029,-24204,252272,188717,63555
250617,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,221285,796467,292750,-575182,1087314,238150,125053,849164,151112,477994,169689,-326882,115475,121998,37792,-6523,272734,213312,59422
250610,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,195791,806098,206280,-610307,1091111,262328,115026,828783,148966,462641,108400,-313675,113730,87030,6489,26700,256027,187528,68499
250603,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,178879,869334,95040,-690455,1085879,269554,116166,816325,158686,444233,76126,-285547,171742,71688,6229,100054,251537,191912,59625
250527,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,164705,882554,81695,-717849,1124498,265691,120562,858807,164254,420920,71876,-256666,150305,79768,8254,70537,243370,198201,45169
250520,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,185308,863494,76676,-678186,1126011,250324,113493,875687,147979,443912,72461,-295933,155496,100642,6945,54854,245679,202102,43577
250513,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,191123,864880,63157,-673757,1115694,256693,121345,859001,157321,443939,76975,-286618,154895,110666,6136,44229,255972,198827,57145
250506,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,189164,878566,76199,-689402,1102134,283406,130668,818728,154731,414498,78171,-259767,168609,71158,6939,97451,243181,210192,32989
250429,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,167505,917772,48853,-750267,1112246,280078,146915,832168,147981,398154,68240,-250173,207191,74567,4995,132624,246444,210795,35649
250422,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,179688,955718,41611,-776030,1120304,304345,153473,815959,169005,421326,65124,-252321,245899,68654,6878,177245,242674,207526,35148
250415,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,174861,930129,58332,-755268,1090526,276607,161288,813919,158122,391325,79359,-233203,225570,75705,7566,149865,241935,217247,24688
250408,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,162071,963565,68894,-801494,1089384,273950,161939,815434,214605,487023,75010,-272418,297626,75983,20239,221643,260157,223321,36836
250401,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,138550,986673,55818,-848123,1094327,206681,128883,887646,169150,432438,49922,-263288,226480,76234,5053,150246,256433,182915,73518
250325,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,134217,993988,47010,-859771,1119994,202623,118244,917371,167647,403415,52458,-235768,184529,92855,2389,91674,257963,171469,86494
250318,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,134339,1041521,253610,-907182,1070090,236328,158254,833762,238285,423487,192381,-185202,215545,72420,23866,143125,305113,189614,115499
250311,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,145410,1071348,68330,-925938,1096672,247839,128382,848833,269887,461887,74135,-192000,215671,77690,3436,137981,306470,175347,131123
250304,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,141264,1010425,49637,-869161,1120326,207296,100427,913030,240489,528463,49672,-287974,201762,89570,2445,112192,296240,164326,131914
250225,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,140919,941217,46538,-800298,1131624,208953,95582,922671,185543,523860,55449,-338317,190421,114189,2754,76232,296714,157003,139711
250218,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,148486,920086,36814,-771600,1138446,185718,95100,952728,194000,550140,57461,-356140,175021,130661,2903,44360,287994,157342,130652
250211,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,136167,897622,35704,-761455,1120534,184514,96814,936020,190561,549376,51759,-358815,192012,137850,2936,54162,284619,154532,130087
250204,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,137287,903996,34823,-766709,1109578,181663,98518,927915,174823,501357,71562,-326534,175145,138696,5289,36449,278667,149789,128878
250128,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,141742,899446,30285,-757704,1137316,170885,97173,966431,119780,518978,59386,-399198,168958,114030,5951,54928,286120,150577,135543
250121,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,148958,911235,26634,-762277,1115968,180614,108602,935354,136276,526690,33036,-390414,186266,104822,6515,81444,286332,150439,135893
250114,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,137705,927968,40701,-790263,1116343,187836,112410,928507,150826,451571,54068,-300745,163161,116393,5749,46768,276068,160335,115733
250107,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,13874+,140308,941253,37817,-800945,1158900,164602,101476,994298,149925,490740,43874,-340815,157623,128522,9237,29101,282742,164383,118359
250729,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,22350,3758,0,18592,3630,22951,0,-19321,1400,1114,0,286,0,0,0,0,1793,1350,443
250722,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,22387,3488,0,18899,3461,22637,0,-19176,1819,1289,0,530,0,728,0,-728,2085,1610,475
250715,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,22316,3323,0,18993,3861,22752,0,-18891,1420,1280,0,140,0,845,0,-845,1688,1085,603
250708,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,22967,3300,0,19667,3870,25603,499,-21733,1567,1704,0,-137,1381,0,0,1381,1798,976,822
250701,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,18357,3287,0,15070,7822,23290,0,-15468,1102,1587,0,-485,0,0,0,0,2048,1165,883
250624,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,18324,3287,0,15037,7810,23014,0,-15204,1117,2025,0,-908,0,0,0,0,2000,925,1075
250617,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,25646,8515,5261,17131,7282,23192,0,-15910,1215,1792,228,-577,0,2224,0,-2224,2778,1198,1580
250610,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,13019,11475,0,1544,6992,7584,0,-592,1280,1309,0,-29,0,2374,0,-2374,2452,1001,1451
250603,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,11152,11480,0,-328,6780,6332,0,448,1600,1091,0,509,0,1198,364,-1198,1980,1411,569
250527,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,10230,11436,0,-1206,7313,5589,0,1724,1319,1022,0,297,0,1603,364,-1603,2052,1264,788
250520,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,11951,11430,0,521,7274,7083,0,191,1292,870,0,422,0,2033,364,-2033,1973,1074,899
250513,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,12945,13450,0,-505,9679,7619,0,2060,1503,622,0,881,222,0,142,222,1921,4579,-2658
250506,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,5493,12974,0,-7481,8545,6636,28,1909,1381,460,0,921,364,0,0,364,5097,810,4287
250429,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,10283,13304,0,-3021,7530,6636,28,894,1450,559,0,891,364,0,0,364,1912,1040,872
250422,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,7181,13433,0,-6252,11024,6636,28,4388,1225,528,0,697,364,0,0,364,1882,1079,803
250415,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,7582,12343,0,-4761,9692,7102,64,2590,1380,204,0,1176,0,0,0,0,2000,1005,995
250408,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,6536,8978,0,-2442,8518,7920,64,598,1450,555,0,895,0,0,0,0,1939,990,949
250401,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,12127,5730,0,6397,4434,18299,64,-13865,1220,862,0,358,0,0,0,0,7909,799,7110
250325,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,14315,2960,0,11355,3672,12438,64,-8766,1152,691,0,461,0,0,0,0,1510,4560,-3050
250318,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,17665,8706,5652,8959,3981,10106,431,-6125,251,504,0,-253,0,0,0,0,2032,4613,-2581
250311,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,14289,10403,0,3886,5487,10101,431,-4614,0,277,0,-277,0,0,0,0,1686,681,1005
250304,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,14251,10279,0,3972,3174,10209,512,-7035,0,277,0,-277,0,0,0,0,4277,937,3340
250225,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,16878,10413,0,6465,3101,10214,1366,-7113,0,277,0,-277,0,0,0,0,1831,906,925
250218,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,17565,3425,0,14140,2843,16186,512,-13343,426,220,0,206,0,0,0,0,1447,2450,-1003
250211,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,17040,2288,0,14752,2737,18385,512,-15648,874,0,0,874,0,0,0,0,1476,1454,22
250204,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,17289,2246,0,15043,2639,18385,512,-15746,552,379,0,173,0,0,0,0,1651,1121,530
250128,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,19947,2248,0,17699,2924,21240,512,-18316,697,376,0,321,0,0,0,0,1616,1320,296
250121,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,21957,2080,0,19877,2799,23409,512,-20610,975,376,0,599,0,0,0,0,1645,1511,134
250114,E-MINI S&P CONSU STAPLES INDEX - CHICAGO MERCANTILE EXCHANGE,138748,20118,2077,0,18041,2274,22078,512,-19804,1503,230,0,1273,0,0,0,0,1886,1396,490
250729,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,15063,9405,0,5658,5408,9683,104,-4275,807,3075,0,-2268,0,0,0,0,2211,1326,885
250722,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,14307,9844,0,4463,5396,6859,104,-1463,807,2716,0,-1909,0,0,0,0,2253,3344,-1091
250715,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,11855,9923,0,1932,5618,6859,104,-1241,807,2221,0,-1414,0,0,0,0,2078,1355,723
250708,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,11983,9980,0,2003,5441,6960,104,-1519,807,2174,0,-1367,0,0,0,0,2653,1770,883
250701,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,12528,10121,0,2407,5486,6615,272,-1129,667,2301,0,-1634,0,0,0,0,1883,1527,356
250624,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,11738,12131,0,-393,5443,3533,104,1910,667,2162,0,-1495,0,0,0,0,1809,1831,-22
250617,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,20123,5464,7214,14659,5392,16800,104,-11408,667,3358,0,-2691,0,2471,0,-2471,4549,2638,1911
250610,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,27997,6570,0,21427,5176,25245,0,-20069,867,1962,0,-1095,0,0,0,0,2085,2348,-263
250603,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,27225,6806,0,20419,5314,24693,2,-19379,667,1977,0,-1310,0,0,0,0,2258,1988,270
250527,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,26157,6908,0,19249,5714,23445,2,-17731,886,1840,0,-954,0,0,0,0,1973,2537,-564
250520,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,25158,6910,0,18248,5405,22432,2,-17027,667,1595,0,-928,0,339,0,-339,2182,2136,46
250513,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,18309,6354,0,11955,4616,16089,0,-11473,667,1355,0,-688,0,0,0,0,2220,2014,206
250506,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,17897,6476,0,11421,5445,14375,584,-8930,676,1295,0,-619,0,0,0,0,2536,4408,-1872
250429,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,10063,9330,0,733,7494,8100,0,-606,676,921,0,-245,0,0,0,0,2010,1892,118
250422,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,11124,9327,0,1797,4765,7985,0,-3220,676,937,0,-261,0,0,0,0,3635,1951,1684
250415,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,12140,7947,0,4193,4479,8618,0,-4139,676,887,0,-211,0,0,0,0,2268,2111,157
250408,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,7696,8277,0,-581,4916,4881,0,35,715,458,0,257,0,0,0,0,2406,2117,289
250401,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,3794,12483,0,-8689,7852,1356,0,6496,727,871,0,-144,0,0,0,0,3958,1621,2337
250325,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,4240,11786,0,-7546,6558,1569,0,4989,727,788,0,-61,0,0,0,0,3978,1360,2618
250318,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,6656,11667,4277,-5011,5414,2071,0,3343,251,393,62,-142,0,0,0,0,3731,1921,1810
250311,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,6285,7268,0,-983,5536,7431,0,-1895,251,755,0,-504,0,0,0,0,5120,1738,3382
250304,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,7567,6520,0,1047,6528,7152,0,-624,251,1023,0,-772,0,0,0,0,2103,1754,349
250225,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,7544,7121,0,423,6188,6434,0,-246,251,1530,0,-1279,0,0,0,0,2375,1273,1102
250218,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,8399,7386,0,1013,6401,5378,0,1023,251,2188,0,-1937,0,0,0,0,2175,2274,-99
250211,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,5386,6885,0,-1499,5481,3268,0,2213,251,2143,0,-1892,0,0,0,0,2413,1235,1178
250204,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,4512,7756,0,-3244,5993,2260,0,3733,251,2390,0,-2139,0,0,0,0,2575,925,1650
250128,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,4749,6675,0,-1926,5993,2459,0,3534,0,2126,0,-2126,0,0,0,0,2550,2032,518
250121,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,4154,8925,0,-4771,5826,253,0,5573,0,2244,0,-2244,0,0,0,0,2766,1324,1442
250114,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,4182,8544,0,-4362,5853,654,0,5199,0,1985,0,-1985,0,0,0,0,2599,1451,1148
250107,E-MINI S&P ENERGY INDEX - CHICAGO MERCANTILE EXCHANGE,138749,10218,6876,0,3342,5804,8386,0,-2582,0,1974,0,-1974,0,0,0,0,2542,1328,1214
250729,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,135576,732716,27519,-597140,1111564,238980,107905,872584,157815,523242,32714,-365427,108336,99782,5702,8554,254800,173371,81429
250722,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,162374,741733,25433,-579359,1093090,240822,104612,852268,145719,487028,31920,-341309,103226,105139,2980,-1913,247689,177376,70313
250715,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,146258,738453,26046,-592195,1097986,231667,107671,866319,162331,507141,30982,-344810,111806,112063,2643,-257,250136,179193,70943
250708,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,119526,733933,24424,-614407,1102127,238590,109311,863537,146754,494389,31355,-347635,112876,92467,2187,20409,250486,172390,78096
250701,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,120862,760637,23842,-639775,1095229,255081,104803,840148,143023,449310,24797,-306287,118345,96196,3055,22149,253398,169633,83765
250624,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,137756,746446,20969,-608690,1064574,223328,113535,841246,137615,411937,54992,-274322,106536,130995,3770,-24459,246605,180380,66225
250617,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,220265,793745,292562,-573480,1085040,238330,124536,846710,150208,475094,158837,-324886,114936,121156,37792,-6220,265970,208094,57876
250610,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,194858,803150,206280,-608292,1088561,262430,114745,826131,150882,465145,98825,-314263,114149,86688,5894,27461,249715,180752,68963
250603,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,178033,866779,94906,-688746,1083338,269654,115877,813684,161462,447530,66984,-286068,172449,71688,5347,100761,245466,185097,60369
250527,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,164372,879696,81245,-715324,1121735,265658,120276,856077,167130,425681,62031,-258551,150744,79447,7640,71297,236993,190492,46501
250520,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,185308,861079,76213,-675771,1123523,250081,113222,873442,150431,448993,63163,-298562,155829,100410,6435,55419,239544,194072,45472
250513,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,191074,864263,61817,-673189,1112757,256679,121085,856078,159581,448236,68442,-288655,154720,109479,6136,45241,250278,189753,60525
250506,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,188508,881910,72848,-693402,1099297,283135,130390,816162,157467,414906,72458,-257439,168854,70398,6519,98456,237311,201088,36223
250429,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,167266,920807,45811,-753541,1109378,279977,146645,829401,150010,399887,62244,-249877,207016,73912,4992,133104,240722,199809,40913
250422,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,179464,958106,39215,-778642,1117162,304043,153318,813119,168599,420432,62857,-251833,245897,68080,6699,177817,236445,196906,39539
250415,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,174555,933840,54614,-759285,1087907,276607,161019,811300,159652,391121,75290,-231469,225549,75213,7395,150336,235927,206809,29118
250408,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,161861,968705,63748,-806844,1086748,273583,161553,813165,216672,483817,71543,-267145,298042,75856,19707,222186,252928,214290,38638
250401,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,138259,988527,53964,-850268,1092161,206681,128631,885480,169590,430751,48329,-261161,226962,76234,4422,150728,249432,174211,75221
250325,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,134217,993988,47010,-859771,1117841,202515,118124,915326,168249,402856,51033,-234607,184241,92388,2389,91853,251247,164048,87199
250318,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,134075,1045005,249782,-910930,1068185,236328,158180,831857,239099,427599,176043,-188500,216569,72420,22518,144149,296211,172787,123424
250311,E-MINI S&P 500 - CHICAGO MERCANTILE EXCHANGE,13874A,145177,1074214,65140,-929037,1094727,247942,128278,846785,268404,461956,64951,-193552,216093,77690,2538,138403,297340,159939,137401
